Site,Abundance (# ind/100 m2)
Bluff Point,80
Bluff Point,8
Bluff Point,8
Bluff Point,17
Bluff Point,21
Bluff Point,15
Bluff Point,37
Bluff Point,124
Bluff Point,9
Bluff Point,22
Bluff Point,83
Bluff Point,23
Bluff Point,11
Bluff Point,167
Bluff Point,167
Bluff Point,13
Bluff Point,33
Bluff Point,47
Bluff Point,7
Bluff Point,29
Bluff Point,78
Bluff Point,114
Bluff Point,9
Bluff Point,17
Bluff Point,53
Bluff Point,91
Bluff Point,12
Bluff Point,43
Bluff Point,8
Bluff Point,15
Bluff Point,10
Bluff Point,8
Cohen Island,14
Cohen Island,19
Cohen Island,8
Cohen Island,31
Cohen Island,28
Cohen Island,68
Cohen Island,32
Cohen Island,25
Cohen Island,34
Cohen Island,18
Cohen Island,26
Cohen Island,27
Cohen Island,9
Cohen Island,13
Cohen Island,42
Cohen Island,12
Cohen Island,37
Cohen Island,11
Cohen Island,48
Cohen Island,56
Cohen Island,68
Cohen Island,77
Elephant Island,10
Elephant Island,12
Elephant Island,10
Elephant Island,9
Elephant Island,10
Elephant Island,8
Elephant Island,9
Elephant Island,8
Outside Beach,7
Outside Beach,11
Outside Beach,15
Outside Beach,7
Outside Beach,9
Outside Beach,12
Outside Beach,10
Outside Beach,28
Outside Beach,8
Outside Beach,11
Outside Beach,9
Outside Beach,21
Outside Beach,9
Outside Beach,17
Outside Beach,11
Outside Beach,16
Outside Beach,20
Outside Beach,15
Outside Beach,7
Outside Beach,10
Outside Beach,9
Outside Beach,8
Outside Beach,18
Outside Beach,22
Outside Beach,7
Outside Beach,10
