Stratum,mean
high,1
high,92
high,11
high,85
high,14
high,120
high,11.5
high,21
high,236
high,331
high,167
high,411
high,78
high,91
high,10
high,1
high,1
high,2
high,2
high,1
high,1
high,2
low,4
low,92
low,9.333333333333334
low,2
low,4
low,33.5
low,23.5
low,2.5
low,6
low,8
low,16
low,66.5
low,53
low,90
low,27
low,61.5
low,29.5
low,17.333333333333332
low,9.5
low,6
low,6
low,2
low,4.5
low,14.5
low,6
low,10.333333333333334
low,13.5
low,6
low,12
low,25.5
low,6
low,3
low,1
low,1
low,12
low,6
low,1
low,8
low,3
low,1
low,2
low,6
low,4
low,15
low,9
low,10
low,8.5
low,10.333333333333334
low,4
low,10
low,4.5
low,10.5
low,5.5
low,12
low,19
low,10
low,50
low,39
low,16
low,10
low,3.5
low,11
low,4
low,7
